epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.35384,3.07686,5.48047,4.26579,0,0,0,0,2.71898,4.94682,4.16167,4.475e-05,4.475e-05,4.475e-05
2,17.6834,3.02601,5.31643,4.09088,0,0,0,0,2.70542,4.95415,4.16051,8.98996e-05,8.98996e-05,8.98996e-05
3,27.3325,2.81863,4.86963,3.79356,0,0,0,0,2.86941,5.1219,4.3594,0.000133631,0.000133631,0.000133631
4,36.405,2.57156,4.37902,3.52691,0,0,0,0,2.92838,5.18569,4.4734,0.000170821,0.000170821,0.000170821
5,45.5262,2.31983,3.93185,3.25684,0.01486,0.13897,0.02288,0.01294,2.41752,4.61557,3.78273,0.000168095,0.000168095,0.000168095
6,54.662,2.01538,3.53451,2.99569,0.02349,0.61745,0.07372,0.04712,1.83603,3.82194,3.17543,0.000165368,0.000165368,0.000165368
7,64.1002,1.8464,3.27927,2.78478,0.21158,0.17316,0.11049,0.06972,1.64526,3.13896,2.86422,0.000162642,0.000162642,0.000162642
8,73.2723,1.67366,3.04541,2.57176,0.32096,0.36663,0.20343,0.12289,1.53611,2.95584,2.70772,0.000159916,0.000159916,0.000159916
9,82.4256,1.55425,2.8685,2.42002,0.21027,0.37223,0.22823,0.15204,1.31406,2.51307,2.44407,0.00015719,0.00015719,0.00015719
10,91.6095,1.44989,2.7629,2.30937,0.27875,0.54128,0.31721,0.22916,1.12112,2.28595,2.18014,0.000154463,0.000154463,0.000154463
11,100.778,1.33733,2.61238,2.16302,0.32651,0.45068,0.35209,0.26754,1.0497,2.23572,2.0723,0.000151737,0.000151737,0.000151737
12,109.946,1.28005,2.52589,2.0756,0.24135,0.63975,0.3794,0.28225,1.09396,2.07996,2.00367,0.000149011,0.000149011,0.000149011
13,119.107,1.20463,2.404,1.99297,0.32846,0.59598,0.43311,0.34409,1.01181,1.99023,1.84457,0.000146284,0.000146284,0.000146284
14,128.48,1.17347,2.34128,1.95108,0.35176,0.71483,0.48113,0.37637,0.99064,1.89407,1.82424,0.000143558,0.000143558,0.000143558
15,137.666,1.14268,2.29527,1.90149,0.29937,0.62379,0.49297,0.40658,0.85608,1.85273,1.67008,0.000140832,0.000140832,0.000140832
16,146.817,1.0785,2.18335,1.82908,0.35296,0.64978,0.58983,0.49567,0.79598,1.6327,1.62794,0.000138105,0.000138105,0.000138105
17,155.954,1.03828,2.12757,1.79177,0.37367,0.74973,0.57243,0.46582,0.83628,1.58295,1.61836,0.000135379,0.000135379,0.000135379
18,164.848,1.015,2.0578,1.75558,0.33741,0.67919,0.52102,0.41969,0.8491,1.87697,1.60935,0.000132653,0.000132653,0.000132653
19,173.735,1.02437,1.9887,1.73603,0.50594,0.48966,0.50325,0.41874,0.75541,1.7516,1.50008,0.000129926,0.000129926,0.000129926
20,182.595,0.95423,1.92028,1.68247,0.4859,0.68483,0.64304,0.55053,0.73777,1.59602,1.51258,0.0001272,0.0001272,0.0001272
21,191.916,0.95347,1.89394,1.66074,0.39793,0.67069,0.58701,0.49486,0.7598,1.69822,1.54038,0.000124474,0.000124474,0.000124474
22,200.805,0.91825,1.83132,1.62936,0.38144,0.70911,0.60036,0.50415,0.74107,1.59069,1.47873,0.000121748,0.000121748,0.000121748
23,209.689,0.9167,1.81505,1.63272,0.40599,0.67196,0.61385,0.5135,0.73689,1.73814,1.46916,0.000119021,0.000119021,0.000119021
24,218.58,0.88149,1.76772,1.58361,0.56233,0.79031,0.78606,0.66391,0.70068,1.27131,1.44679,0.000116295,0.000116295,0.000116295
25,227.737,0.87019,1.70201,1.56681,0.48286,0.78193,0.74259,0.61814,0.74448,1.33316,1.46518,0.000113569,0.000113569,0.000113569
26,236.597,0.85901,1.61306,1.55624,0.6186,0.79611,0.83813,0.71046,0.70441,1.12369,1.41179,0.000110842,0.000110842,0.000110842
27,245.804,0.85163,1.62123,1.54073,0.60411,0.80382,0.80803,0.69268,0.68268,1.11939,1.37463,0.000108116,0.000108116,0.000108116
28,254.862,0.82834,1.55276,1.52354,0.59854,0.80513,0.79283,0.68333,0.67122,1.13251,1.40073,0.00010539,0.00010539,0.00010539
29,263.744,0.8164,1.51796,1.51145,0.61036,0.81625,0.87202,0.74445,0.71751,1.04047,1.40344,0.000102663,0.000102663,0.000102663
30,272.904,0.81875,1.49829,1.50253,0.57187,0.79093,0.8265,0.71844,0.66101,1.11096,1.36204,9.99371e-05,9.99371e-05,9.99371e-05
31,281.75,0.78717,1.41326,1.46881,0.60785,0.84287,0.88227,0.77254,0.62621,0.99617,1.34356,9.72108e-05,9.72108e-05,9.72108e-05
32,290.908,0.79262,1.36412,1.46551,0.62279,0.8717,0.90659,0.78301,0.65574,0.97893,1.35692,9.44845e-05,9.44845e-05,9.44845e-05
