epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2243.82,1.31052,1.132,1.11992,0.91759,0.91752,0.96984,0.64862,1.24202,0.7084,1.07636,6.99477e-05,6.99477e-05,6.99477e-05
42,2297.14,1.31714,1.11801,1.12162,0.93076,0.91816,0.9726,0.67351,1.1688,0.67666,1.04944,6.72214e-05,6.72214e-05,6.72214e-05
43,2350.54,1.30396,1.10284,1.11691,0.9254,0.92793,0.97522,0.65497,1.23378,0.67713,1.07619,6.44951e-05,6.44951e-05,6.44951e-05
44,2403.94,1.30237,1.09564,1.1151,0.92789,0.92993,0.97639,0.66416,1.21381,0.66852,1.06481,6.17688e-05,6.17688e-05,6.17688e-05
45,2459.04,1.29774,1.08325,1.11481,0.93563,0.92585,0.97661,0.66362,1.20546,0.66881,1.06034,5.90425e-05,5.90425e-05,5.90425e-05
46,2513.61,1.30097,1.06994,1.11283,0.93677,0.93565,0.97888,0.67202,1.17961,0.65078,1.05214,5.63162e-05,5.63162e-05,5.63162e-05
47,2569.97,1.30592,1.06831,1.11514,0.93431,0.93833,0.97967,0.68251,1.15382,0.64408,1.0422,5.35898e-05,5.35898e-05,5.35898e-05
48,2628.93,1.29498,1.05929,1.10984,0.94166,0.93427,0.98055,0.67023,1.19628,0.64579,1.06009,5.08635e-05,5.08635e-05,5.08635e-05
49,2686.53,1.29967,1.04719,1.1118,0.94629,0.93842,0.98187,0.67267,1.19719,0.63476,1.05977,4.81372e-05,4.81372e-05,4.81372e-05
50,2741.88,1.2949,1.03558,1.10944,0.94042,0.94001,0.98137,0.67153,1.19909,0.63889,1.05915,4.54109e-05,4.54109e-05,4.54109e-05
51,2796.07,1.29405,1.03179,1.11201,0.94176,0.94416,0.98257,0.67183,1.19966,0.63182,1.05811,4.26846e-05,4.26846e-05,4.26846e-05
52,2850.06,1.28812,1.02209,1.1122,0.9478,0.94359,0.98297,0.68189,1.16919,0.62543,1.04725,3.99583e-05,3.99583e-05,3.99583e-05
53,2904.02,1.2964,1.01898,1.10654,0.94977,0.94633,0.98325,0.66734,1.20913,0.62699,1.06297,3.7232e-05,3.7232e-05,3.7232e-05
54,2957.49,1.29428,1.01414,1.11016,0.95081,0.94106,0.98334,0.67365,1.19639,0.62486,1.05841,3.45057e-05,3.45057e-05,3.45057e-05
55,3010.91,1.28659,1.00031,1.108,0.94351,0.95073,0.98427,0.67733,1.18617,0.61973,1.05412,3.17794e-05,3.17794e-05,3.17794e-05
56,3085.78,1.25363,0.82716,1.16213,0.94872,0.93798,0.98342,0.66261,1.22894,0.63109,1.06941,2.90531e-05,2.90531e-05,2.90531e-05
57,3138.22,1.25134,0.80581,1.1641,0.9496,0.94286,0.98407,0.66464,1.22522,0.6231,1.06679,2.63268e-05,2.63268e-05,2.63268e-05
58,3190.7,1.24679,0.79726,1.16104,0.95255,0.94471,0.98469,0.66815,1.21811,0.61709,1.06427,2.36005e-05,2.36005e-05,2.36005e-05
59,3243.25,1.24441,0.79006,1.15864,0.95229,0.94892,0.98502,0.66538,1.22973,0.61436,1.06675,2.08742e-05,2.08742e-05,2.08742e-05
60,3295.7,1.24503,0.78369,1.15954,0.95596,0.94924,0.98539,0.66509,1.232,0.61248,1.06826,1.81478e-05,1.81478e-05,1.81478e-05
61,3348.08,1.24665,0.78152,1.16205,0.95297,0.94983,0.98576,0.6656,1.23301,0.61155,1.06823,1.54215e-05,1.54215e-05,1.54215e-05
62,3400.51,1.24438,0.78187,1.15779,0.95224,0.95253,0.98569,0.6689,1.22029,0.60658,1.0636,1.26952e-05,1.26952e-05,1.26952e-05
63,3452.86,1.24119,0.77063,1.1564,0.95614,0.95081,0.98606,0.66785,1.22728,0.60746,1.0657,9.96892e-06,9.96892e-06,9.96892e-06
64,3505.31,1.23934,0.77044,1.15962,0.95767,0.95087,0.98619,0.66755,1.23023,0.6055,1.06605,7.24262e-06,7.24262e-06,7.24262e-06
65,3557.68,1.23618,0.76446,1.1527,0.9602,0.94797,0.98615,0.66862,1.22855,0.60474,1.06595,4.51631e-06,4.51631e-06,4.51631e-06
