epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.42816,3.07686,5.48047,4.26579,0,0,0,0,2.71898,4.94682,4.16167,4.475e-05,4.475e-05,4.475e-05
2,18.3172,3.02474,5.31979,4.0888,0,0,0,0,2.71372,4.95754,4.16594,8.87078e-05,8.87078e-05,8.87078e-05
3,27.6023,2.81376,4.87082,3.79476,0,0,0,0,2.84548,5.09358,4.31751,0.000130033,0.000130033,0.000130033
4,36.8957,2.57651,4.3788,3.53491,0,0,0,0,2.88153,5.15387,4.39036,0.000163811,0.000163811,0.000163811
5,46.231,2.30814,3.91132,3.27293,0.0148,0.04212,0.01522,0.00888,2.47179,4.85251,3.96592,0.000158747,0.000158747,0.000158747
6,55.6424,2.02001,3.52101,3.01598,0.01725,0.51248,0.05466,0.02604,2.08083,3.99855,3.33419,0.000153684,0.000153684,0.000153684
7,65.0318,1.84037,3.28391,2.80642,0.2173,0.24455,0.11699,0.06342,1.75344,3.03919,2.87638,0.000148621,0.000148621,0.000148621
8,74.4192,1.68521,3.06426,2.60281,0.44792,0.27956,0.24547,0.15972,1.48004,2.5959,2.66823,0.000143558,0.000143558,0.000143558
9,83.8185,1.56826,2.92711,2.45945,0.20999,0.43589,0.24498,0.17144,1.33968,2.44777,2.45076,0.000138495,0.000138495,0.000138495
10,93.195,1.45367,2.78554,2.32875,0.40911,0.35177,0.33471,0.22366,1.28127,2.44345,2.37198,0.000133432,0.000133432,0.000133432
11,102.588,1.35103,2.62593,2.1888,0.4024,0.42795,0.34393,0.26498,1.0446,2.33523,2.05131,0.000128369,0.000128369,0.000128369
12,111.99,1.28566,2.54537,2.09758,0.29194,0.64498,0.41303,0.31114,1.07386,2.01601,2.043,0.000123305,0.000123305,0.000123305
13,121.412,1.2096,2.43372,2.01832,0.30734,0.59649,0.46078,0.35599,0.9622,2.10301,1.85577,0.000118242,0.000118242,0.000118242
14,130.898,1.19295,2.37532,1.98945,0.35286,0.6406,0.47539,0.38915,0.85425,2.00134,1.79471,0.000113179,0.000113179,0.000113179
15,140.282,1.14531,2.31257,1.92876,0.4358,0.57543,0.52034,0.42081,0.89314,1.90741,1.78489,0.000108116,0.000108116,0.000108116
16,149.715,1.09689,2.22254,1.87037,0.29848,0.58155,0.43566,0.35903,0.81777,1.98286,1.69414,0.000103053,0.000103053,0.000103053
17,158.803,1.06992,2.17008,1.84477,0.28085,0.64865,0.48548,0.39046,0.82219,1.74135,1.66895,9.79897e-05,9.79897e-05,9.79897e-05
18,167.887,1.01837,2.09859,1.78715,0.35632,0.74349,0.59805,0.49935,0.78249,1.60609,1.56779,9.29266e-05,9.29266e-05,9.29266e-05
19,177.294,1.02928,2.01973,1.76907,0.38676,0.64607,0.56173,0.4644,0.76459,1.87407,1.57312,8.78634e-05,8.78634e-05,8.78634e-05
20,186.381,0.96785,1.95825,1.72441,0.53265,0.65423,0.63888,0.54027,0.73348,1.54374,1.515,8.28003e-05,8.28003e-05,8.28003e-05
21,195.755,0.96417,1.95011,1.69906,0.43995,0.69443,0.63266,0.52522,0.75572,1.50486,1.52859,7.77371e-05,7.77371e-05,7.77371e-05
22,204.882,0.939,1.86847,1.6707,0.31683,0.74462,0.62259,0.52655,0.71581,1.55232,1.48244,7.2674e-05,7.2674e-05,7.2674e-05
23,213.995,0.93429,1.84445,1.67291,0.48573,0.70547,0.71264,0.59109,0.77521,1.42508,1.51844,6.76109e-05,6.76109e-05,6.76109e-05
24,223.371,0.92428,1.82358,1.64405,0.56494,0.7689,0.79093,0.67039,0.71839,1.25814,1.49114,6.25477e-05,6.25477e-05,6.25477e-05
25,232.741,0.89565,1.73376,1.61419,0.53109,0.85644,0.78686,0.65742,0.74159,1.23526,1.48702,5.74846e-05,5.74846e-05,5.74846e-05
26,243.302,0.74707,1.55799,1.54527,0.47935,0.79654,0.74371,0.6256,0.74118,1.3853,1.46085,5.24214e-05,5.24214e-05,5.24214e-05
27,252.605,0.67242,1.4791,1.46908,0.55944,0.76887,0.77987,0.66505,0.70476,1.2705,1.45239,4.73583e-05,4.73583e-05,4.73583e-05
28,261.679,0.64025,1.3753,1.43363,0.59081,0.71215,0.77673,0.67186,0.69784,1.36164,1.44064,4.22951e-05,4.22951e-05,4.22951e-05
29,270.719,0.61858,1.27749,1.38447,0.6318,0.84636,0.8512,0.73535,0.66757,1.0581,1.40482,3.7232e-05,3.7232e-05,3.7232e-05
30,280.061,0.61247,1.21331,1.39155,0.66763,0.80609,0.84997,0.74165,0.66366,0.95729,1.3755,3.21689e-05,3.21689e-05,3.21689e-05
31,289.468,0.60179,1.18213,1.37213,0.70919,0.83743,0.88829,0.77599,0.64785,0.94477,1.37032,2.71057e-05,2.71057e-05,2.71057e-05
32,298.832,0.59187,1.12097,1.36738,0.79274,0.84795,0.91136,0.79514,0.64568,0.88431,1.35755,2.20426e-05,2.20426e-05,2.20426e-05
33,308.188,0.57487,1.0572,1.33428,0.7758,0.85697,0.93142,0.81118,0.63123,0.79507,1.34699,1.69794e-05,1.69794e-05,1.69794e-05
34,317.604,0.56615,1.02542,1.33766,0.72459,0.90391,0.93022,0.81948,0.61846,0.79976,1.3547,1.19163e-05,1.19163e-05,1.19163e-05
35,326.969,0.55586,1.04521,1.31942,0.82292,0.86256,0.93149,0.8233,0.60693,0.76096,1.33059,6.85314e-06,6.85314e-06,6.85314e-06
