epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.45177,3.07686,5.48047,4.26579,0,0,0,0,2.71898,4.94682,4.16167,4.475e-05,4.475e-05,4.475e-05
2,18.5314,3.02712,5.31532,4.08754,0,0,0,0,2.71808,4.96185,4.17043,8.94825e-05,8.94825e-05,8.94825e-05
3,27.4561,2.80668,4.86137,3.78425,0,0,0,0,2.83293,5.09883,4.31942,0.000132372,0.000132372,0.000132372
4,36.4619,2.54701,4.30259,3.5089,0,0,0,0,2.9164,5.17551,4.43793,0.000168367,0.000168367,0.000168367
5,46.2206,2.28264,3.85463,3.23775,0.03253,0.06456,0.02458,0.01339,2.45352,4.84757,3.91162,0.000164823,0.000164823,0.000164823
6,55.344,2.00107,3.49063,2.99778,0.01469,0.55964,0.05293,0.0238,1.96118,3.95233,3.21329,0.000161279,0.000161279,0.000161279
7,64.8314,1.82321,3.26001,2.79702,0.12779,0.26294,0.09533,0.05333,1.79179,3.26161,2.98177,0.000157735,0.000157735,0.000157735
8,73.9087,1.66544,3.03086,2.60181,0.34434,0.2463,0.16145,0.11132,1.46499,2.97822,2.6675,0.000154191,0.000154191,0.000154191
9,83.0019,1.53576,2.87413,2.43871,0.23399,0.36371,0.24658,0.17172,1.46789,2.56277,2.57287,0.000150646,0.000150646,0.000150646
10,92.1097,1.45864,2.77753,2.34126,0.28674,0.53727,0.3324,0.23621,1.21333,2.29779,2.25467,0.000147102,0.000147102,0.000147102
11,101.177,1.33876,2.61547,2.19335,0.24854,0.45518,0.32402,0.24597,1.06598,2.23659,2.06006,0.000143558,0.000143558,0.000143558
12,110.273,1.2659,2.53149,2.09443,0.31373,0.54441,0.35314,0.27019,1.03568,2.4294,1.9731,0.000140014,0.000140014,0.000140014
13,119.354,1.19635,2.43134,2.01709,0.52996,0.36087,0.43507,0.33875,0.97065,2.28254,1.86399,0.00013647,0.00013647,0.00013647
14,128.419,1.17109,2.37623,1.98268,0.33004,0.67017,0.44798,0.3642,0.93377,1.9632,1.85796,0.000132925,0.000132925,0.000132925
15,137.522,1.13992,2.31565,1.93028,0.45265,0.55123,0.49797,0.3997,0.87956,1.96283,1.75143,0.000129381,0.000129381,0.000129381
16,146.613,1.07697,2.20606,1.86858,0.31324,0.68274,0.53663,0.42978,0.91246,1.79167,1.73323,0.000125837,0.000125837,0.000125837
17,155.73,1.048,2.17003,1.82953,0.2626,0.66279,0.52674,0.42787,0.85123,1.7226,1.67127,0.000122293,0.000122293,0.000122293
18,164.522,1.01425,2.09005,1.7833,0.4216,0.68703,0.58522,0.47253,0.84297,1.63589,1.65185,0.000118749,0.000118749,0.000118749
19,173.966,1.02542,2.00204,1.7734,0.37055,0.59283,0.50446,0.41169,0.76529,2.06224,1.56688,0.000115204,0.000115204,0.000115204
20,182.726,0.95863,1.96138,1.71674,0.44618,0.73683,0.66179,0.55181,0.78401,1.54018,1.60012,0.00011166,0.00011166,0.00011166
21,191.801,0.95558,1.94189,1.69206,0.38646,0.75702,0.58832,0.49135,0.75582,1.54212,1.54861,0.000108116,0.000108116,0.000108116
22,200.591,0.92884,1.88207,1.67012,0.36658,0.71014,0.59121,0.50485,0.72523,1.67991,1.48121,0.000104572,0.000104572,0.000104572
23,209.366,0.93063,1.84155,1.66876,0.44593,0.79265,0.71954,0.60595,0.72566,1.46454,1.48708,0.000101028,0.000101028,0.000101028
24,218.447,0.89629,1.79902,1.61939,0.5675,0.78286,0.811,0.68633,0.69122,1.32163,1.46387,9.74834e-05,9.74834e-05,9.74834e-05
25,227.538,0.87998,1.7368,1.59777,0.4414,0.81838,0.75467,0.62245,0.76355,1.26097,1.49013,9.39392e-05,9.39392e-05,9.39392e-05
26,236.297,0.86575,1.65037,1.59243,0.54674,0.78347,0.75983,0.64694,0.6938,1.19146,1.42744,9.0395e-05,9.0395e-05,9.0395e-05
27,245.126,0.85451,1.64568,1.57032,0.60945,0.86413,0.82641,0.71021,0.67459,1.0814,1.38783,8.68508e-05,8.68508e-05,8.68508e-05
28,254.208,0.83079,1.57715,1.55112,0.59553,0.84467,0.81374,0.70544,0.66828,1.08292,1.38899,8.33066e-05,8.33066e-05,8.33066e-05
29,262.995,0.8187,1.52915,1.53558,0.60633,0.81524,0.82609,0.7005,0.71708,1.17968,1.39325,7.97624e-05,7.97624e-05,7.97624e-05
30,272.091,0.82763,1.52186,1.53272,0.6098,0.7995,0.82092,0.72295,0.65777,1.11329,1.35944,7.62182e-05,7.62182e-05,7.62182e-05
31,281.163,0.79187,1.4255,1.50031,0.68784,0.83174,0.89196,0.77459,0.63729,1.00166,1.3645,7.2674e-05,7.2674e-05,7.2674e-05
32,290.233,0.79135,1.39828,1.48974,0.73124,0.85619,0.9046,0.78516,0.62784,0.86508,1.33439,6.91298e-05,6.91298e-05,6.91298e-05
33,299.298,0.77152,1.37789,1.4727,0.72132,0.81164,0.90217,0.78423,0.62811,0.91005,1.35503,6.55856e-05,6.55856e-05,6.55856e-05
34,308.088,0.7732,1.35625,1.47279,0.648,0.83235,0.87542,0.75934,0.63244,1.04893,1.35411,6.20414e-05,6.20414e-05,6.20414e-05
35,316.852,0.76051,1.32213,1.45398,0.78095,0.83529,0.92971,0.8105,0.5995,0.81083,1.30656,5.84972e-05,5.84972e-05,5.84972e-05
36,325.917,0.75918,1.27418,1.45103,0.64769,0.85787,0.8715,0.7577,0.60882,1.0254,1.32202,5.4953e-05,5.4953e-05,5.4953e-05
37,334.694,0.75679,1.27282,1.44653,0.80666,0.91898,0.95297,0.84004,0.59744,0.68892,1.30348,5.14088e-05,5.14088e-05,5.14088e-05
38,343.755,0.73027,1.22176,1.42711,0.73679,0.9011,0.93521,0.8159,0.61631,0.75354,1.30684,4.78646e-05,4.78646e-05,4.78646e-05
