epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,352.539,0.74464,1.22759,1.43527,0.83232,0.86537,0.95019,0.83563,0.60389,0.6817,1.314,4.43204e-05,4.43204e-05,4.43204e-05
40,361.285,0.72291,1.18343,1.41766,0.79205,0.90797,0.95056,0.83738,0.5922,0.71353,1.29566,4.07762e-05,4.07762e-05,4.07762e-05
41,371.454,0.55762,0.97743,1.29909,0.78468,0.89288,0.94308,0.82018,0.63162,0.77363,1.32364,3.7232e-05,3.7232e-05,3.7232e-05
42,380.639,0.51485,0.84823,1.25988,0.8585,0.91832,0.94817,0.83653,0.58865,0.64239,1.29212,3.36878e-05,3.36878e-05,3.36878e-05
43,389.387,0.51536,0.82168,1.25426,0.81857,0.93531,0.94798,0.8366,0.60465,0.62901,1.2991,3.01436e-05,3.01436e-05,3.01436e-05
44,398.176,0.50785,0.7617,1.23741,0.86721,0.90995,0.96367,0.84383,0.59713,0.59822,1.30502,2.65994e-05,2.65994e-05,2.65994e-05
45,407.246,0.49885,0.73538,1.22605,0.82585,0.90488,0.95483,0.83592,0.59547,0.63505,1.30048,2.30552e-05,2.30552e-05,2.30552e-05
46,416,0.50039,0.74743,1.22789,0.89004,0.91776,0.96073,0.84938,0.60442,0.57877,1.29894,1.9511e-05,1.9511e-05,1.9511e-05
47,425.104,0.48935,0.71264,1.21948,0.87635,0.92876,0.96223,0.85363,0.58005,0.56963,1.29164,1.59668e-05,1.59668e-05,1.59668e-05
48,434.241,0.48318,0.68995,1.21231,0.8964,0.908,0.95718,0.84806,0.58379,0.54799,1.27819,1.24226e-05,1.24226e-05,1.24226e-05
49,443.012,0.46565,0.65985,1.19366,0.873,0.91289,0.95716,0.84917,0.57832,0.56901,1.27967,8.8784e-06,8.8784e-06,8.8784e-06
50,451.754,0.46904,0.66223,1.21492,0.90201,0.93871,0.9625,0.85325,0.5671,0.52831,1.26798,5.3342e-06,5.3342e-06,5.3342e-06
